review,O,C,E,A,N ,Helpfulness,Tiêu_cực,Trung_tính,Tích_cực
ba_lô con gà may bị lệch hẳn đi 1 bên chất_lượng quá kém,0.4439,0.5534,0.4976,0.5702,0.5134,0.35,0.97,0.0,0.03
đẹp hết chỗ chê nhìn sang chảnh ghê lắm,0.5177,0.457,0.6154,0.6165,0.4325,0.3,0.0,0.0,1.0
ngon cực không bể nhiều lắm so mẻ nguyên đã mua lần 2 bịch to chà_bá giao hàng cực nhanh,0.5574,0.6901,0.6105,0.8732,0.1676,0.8,0.0,0.0,1.0
sản_phẩm rất đạp sh phục_vụ dth mik chắc_chắn sẽ mua hàng 1 lần nx,0.5188,0.6753,0.5722,0.758,0.3315,0.62,0.0,0.0,0.99
thảm đẹp y hình giao hàng nhanh,0.539,0.549,0.6386,0.7944,0.2107,0.43,0.0,0.03,0.96
vải vừa_ý,0.4834,0.4477,0.5617,0.5804,0.4678,0.08,0.01,0.19,0.8
mua online rất tuyệt_vời mặt 32 mình nữ đeo rất vừa_vặn cảm_ơn cửa_hàng nhiều,0.6538,0.7071,0.7717,0.9307,0.1271,0.38,0.0,0.0,1.0
bình chán tưởng bình nhựa in dè thuỷ_tinh bọc vải trơn_tuột bình nhỏ_xíu xiu bỏ bình sữa vào không lọt làm_sao ủ cháo ủ sữa dùng đựng tiêungủ cốc được,0.4799,0.7594,0.4769,0.6655,0.4846,0.57,0.79,0.2,0.01
cửa_hàng giao hàng nhanh hình_như xà_phòng dùng rửa được tay chứ không dùng rửa mặt hay ý tôi thấy ghi handwash,0.5002,0.7095,0.5037,0.789,0.2993,0.58,0.0,0.05,0.95
giao thieu kep đuoi muỗi tinh_dầu không cần giải_quyết xóa_shope có khong can lam an giả_dối,0.4898,0.7437,0.4926,0.7243,0.3813,0.37,0.91,0.08,0.0
đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt chất_lượng sản_phẩm kém,0.5986,0.7503,0.6882,0.8496,0.2699,0.46,0.26,0.7,0.04
hàng chất_lượng kém quá vừa bóc túi_bóng đã thấy bong,0.4394,0.4819,0.4815,0.5523,0.5138,0.42,1.0,0.0,0.0
chất_lượng sản_phẩm rất kém đóng_gói sản_phẩm rất kém chủ cửa_hàng ý_thức kém cố_tình giao hang_lỗi,0.5451,0.7526,0.5842,0.7854,0.3365,0.3,0.94,0.01,0.05
nc sơn bị vân đen sơn đặc quánh rất khó sơn,0.3819,0.3062,0.5078,0.3216,0.7013,0.37,0.1,0.83,0.07
đóng_gói cẩn_thận phục_vụ chu_đáo chất_lượng sản_phẩm quá tốt cảm_ơn cửa_hàng về sản_phẩm quà tặng nhỏ nhiều lắm,0.5209,0.7578,0.554,0.7351,0.4112,0.41,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời rẽ mang êm,0.4317,0.4202,0.4887,0.4931,0.5589,0.51,0.0,0.0,1.0
không biết tiki có giao hàng lộn không cuốn giả kim bản tiếng anh rất tệ tệ chất_lượng trang sách cầm lên mình mất cả cảm_hứng đọc giấy sách màu sẫm thô thất_vọng quá,0.5336,0.7675,0.599,0.7224,0.4647,0.6,0.99,0.0,0.01
hình dán bị lẹch,0.3765,0.2826,0.5288,0.293,0.7652,0.27,0.99,0.01,0.0
sai duoc may bua hu mẹ cai bo,0.4455,0.3703,0.5399,0.4831,0.5642,0.03,1.0,0.0,0.0
khô gà quá uớt quá vụn chất_lượng sản_phẩm rất kém,0.4299,0.4827,0.5139,0.5047,0.5857,0.43,1.0,0.0,0.0
dong goi dep sp tuong ung voi tien mua,0.3717,0.3169,0.4748,0.3326,0.6964,0.65,0.0,0.01,0.99
vỏ chặn bị dính bẩn qua sd rôigiặt không sạch vỏ đỗ thô to vỏ cũng không được mềm_mại lắm,0.4572,0.6373,0.4473,0.6597,0.436,0.61,0.87,0.1,0.02
chat luong kem,0.4191,0.3947,0.5096,0.4917,0.5629,0.16,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời không hiểu size không chuẩn size to hơn bình_thường 2 số bình_thường mình mang 37mà mình đặt mua 36 mang rộng rinh,0.5833,0.7383,0.6595,0.821,0.294,0.54,0.0,0.0,1.0
size nhỏ_xíu xin_lỗi size s 1 lần mãi_mãi,0.3951,0.4304,0.4659,0.4367,0.6193,0.25,0.11,0.02,0.87
chất_lượng sản_phẩm rất kém hàng em lấy 1 kính 1 đồng_hồ,0.4562,0.583,0.4566,0.6679,0.3851,0.32,0.99,0.0,0.01
đặt mua màu trắng báo tốt có hàng giao giao màu đen cửa_hàng làm_ăn kém,0.4559,0.6089,0.4686,0.6967,0.3431,0.26,0.91,0.07,0.02
nó tệ hơn so mình tưởng mua nó khớp nó sát màn_hình khiến lớp dán màn_hình phải bong ra hình_như nó không phù_hợp con s7 edge đâu lớp kim_loại dưới mỏng mới rớt nó đã móp vào rồi giống miếng nhôm mỏng vác lên vậy_mà thế_thì làm_sao đảm_bảo chống lực va_đập nó bị rớt xuống,0.4791,0.807,0.5,0.6343,0.5919,0.42,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,0.6388,0.7566,0.7676,0.9183,0.1886,0.56,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời chính hãng giá rẻ quá ngon,0.4377,0.489,0.4824,0.5787,0.4727,0.56,0.0,0.0,1.0
5 cửa_hàng về đóng_gói dịch_vụ tuy_nhiên chai hơi xước 1 chút tôi khá êm_dịu nhưg có vẻ hơi gắt da mình mua mp hên xui được mua hàng chính hãng giá tốt tốt r,0.6123,0.7801,0.7198,0.8697,0.2775,0.68,0.0,0.05,0.94
thời_gian giao hàng rất nhanh hàng đẹp chất_lượng,0.5142,0.4972,0.6239,0.6874,0.361,0.41,0.0,0.02,0.98
cảm_ơn cửa_hàng nhé cửa_hàng giao hàng nhanh nhiệt_tình nữa bị bên vận_chuyển lưu kho lâu quá vote cửa_hàng 5 phục_vụ quá tốt nhen,0.5902,0.7649,0.6973,0.8181,0.3496,0.46,0.0,0.0,1.0
hàng đẹp núm ăn dặm mềm chất_lượng tốt,0.4696,0.3926,0.5887,0.5307,0.5137,0.51,0.0,0.0,1.0
thời_gian giao hàng rất nhanh giá rẻ giày cực chất êm chân lắm cảm_ơn cửa_hàng nhiều,0.6134,0.7112,0.704,0.9161,0.1241,0.68,0.01,0.09,0.89
máy bị lệch trục khoan bị lắc mũimình muốn đổi nhận hàng không được thử nên giờ phát_hiện mong đổi,0.418,0.6462,0.4076,0.6094,0.4752,0.32,0.99,0.01,0.0
sản_phẩm rất đáng tiền đóng_gói cẩn_thận,0.4058,0.4497,0.466,0.4683,0.571,0.5,0.0,0.02,0.98
quá chất_lượng tiếc gửi 2 màu xanh 1 đỏ 1 xanh la đẹp rất đáng tiền đóng_gói sản_phẩm rất đẹp chắc_chắn,0.6333,0.7305,0.7766,0.8602,0.2704,0.66,0.0,0.0,1.0
thiết_kế fuji không chê vào đâu được mỗi lần cầm máy lên cảm_xúc trào_dâng ngắm máy cũng đã thấy sướng rồi ăn_chơi phải sướng hehe,0.5491,0.7465,0.6101,0.7749,0.3689,0.26,0.0,0.0,0.99
mùi thảo_dược xơm xơm siêu yêu,0.4037,0.3137,0.5356,0.3492,0.6948,0.29,0.0,0.0,1.0
son lên màu đẹp cảm_ơn món quà nhỏ cửa_hàng,0.4745,0.4653,0.5427,0.5557,0.4937,0.23,0.0,0.0,1.0
ốp đẹp lắm ưng lắm luân,0.4579,0.3437,0.5496,0.4937,0.4928,0.51,0.0,0.01,0.99
tốt hàng ổn,0.3613,0.3889,0.4072,0.474,0.5638,0.13,0.02,0.23,0.75
cuốn sách tác_giả rawdon wyat chứ không phải nguyễn hoàng thanh ly đặng ái vy trên bìa sách cũng không có ghi tên tác_giả sách copy từ một cuốn sách khác cùng tên,0.5667,0.7623,0.6025,0.7942,0.3455,0.02,0.42,0.57,0.0
cửa_hàng chọn ngay màu tím xấu không chịu được,0.4046,0.3579,0.4555,0.4912,0.51,0.41,0.98,0.01,0.0
đặt 1 màu giao 1 màu cửa_hàng cũng không gọi điện_báo hết màu có_thể gửi màu khác không tự_động gửi màu bất_kỳ sản_phẩm khác ảnh,0.5464,0.743,0.5937,0.7777,0.3518,0.27,1.0,0.0,0.0
mình nhận được hàng rồi cảm_ơn sh nha fback có tâm nè,0.4054,0.3524,0.5015,0.397,0.65,0.1,0.0,0.03,0.96
đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt rất đáng tiền rất đáng tiền thời_gian giao hàng rất nhanh đóng_gói sản_phẩm rất đẹp chắc_chắn,0.6889,0.8085,0.8639,0.8892,0.2933,0.5,0.01,0.0,0.99
cửa_hàng gói hàng rất kỹ mùi thơm đễ chịu thích ngay lần đầu sd sẽ tiếp_tục sd sp cửa_hàng,0.5209,0.7325,0.5706,0.7911,0.3223,0.78,0.0,0.0,0.99
bị hư cửa_hàng không trả_lời nhắn_tin,0.3765,0.3029,0.4714,0.3543,0.6704,0.15,0.94,0.04,0.02
sản_phẩm đẹp y_như hình,0.4574,0.4025,0.5136,0.5336,0.4931,0.31,0.01,0.18,0.81
hi thank cửa_hàng nha cafe thơm ngon lắm,0.4469,0.3879,0.5422,0.529,0.505,0.03,0.05,0.0,0.94
dùng cũng tốt còn có cả chức_năng soi đèn_pin nữa,0.4289,0.3847,0.4942,0.4887,0.5494,0.45,0.01,0.07,0.92
chất_lượng sản_phẩm tuyệt_vời áo rất mềm mịn ấm siêu đáng yêu luôn,0.5954,0.6405,0.6957,0.8473,0.2244,0.61,0.0,0.0,1.0
kính bị vỡ dùng kiểu,0.3735,0.2601,0.5229,0.2886,0.789,0.34,0.99,0.01,0.0
bao bi khong giong hinh,0.3701,0.2844,0.5385,0.2348,0.8359,0.22,0.08,0.77,0.15
không giống hình không có mã_vạch mùi hôi toàn mùi hóa_chất kinh quá không giám sài luôn hàng giả,0.4861,0.6586,0.4881,0.71,0.3696,0.67,0.89,0.06,0.05
hàng tq nhái chứ không phải chính hãng nokia,0.3489,0.2692,0.4898,0.233,0.8117,0.12,1.0,0.0,0.0
mi dep,0.3136,0.2247,0.489,0.1544,0.885,0.21,0.01,0.08,0.92
túi đẹp khá rộng_rãi nên mua,0.4572,0.4277,0.481,0.6261,0.3475,0.75,0.0,0.02,0.98
đọc 1 3 cuốn thấy tức rồi cốt_truyện cũ tác_giả thay tên giới_tính không nên đọc,0.4246,0.6482,0.4039,0.6095,0.485,0.24,1.0,0.0,0.0
mình vừa mua một cây màu đỏ hồng về mở ra nó thành hồng neon hình trên ảnh bên ngoài khác nhau cả về chất_lượng làm mình thất_vọng nhiều,0.5907,0.7421,0.6628,0.8628,0.224,0.41,1.0,0.0,0.0
ruột ọp_ẹp dây cắm điện không chắc_chắn hâm_nóng khá lâu,0.4134,0.6256,0.3765,0.6056,0.4588,0.56,0.99,0.01,0.0
đế lót vừa nhận hàng đã bong không khớp dùng 3 bữa hỏng,0.3811,0.2978,0.4907,0.2974,0.7516,0.43,1.0,0.0,0.0
gói hạt nêm tháng 3 2018 hết hạn nhìn nhàu nhĩ bị dùng lâu rồi góc trên bên phải bị bong tróc nhìn chán cửa_hàng nên rút kinh_nghiệm chứ đồ thế muốn mua nữa,0.5125,0.7604,0.5642,0.7138,0.4631,0.67,0.99,0.0,0.01
hàng không đẹp lắm phía bị nhăn túi phía dưới,0.451,0.3438,0.5613,0.4842,0.5743,0.42,0.99,0.01,0.0
toàn ba ứng dung mang từ điện_thoại sang mua thêm làm khỉ,0.434,0.4771,0.4695,0.5296,0.5136,0.11,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời dóng 100 hình luôn ủng_hộ dài_dài,0.6068,0.6895,0.6966,0.8857,0.1724,0.57,0.0,0.0,1.0
đâu phải chính hãng,0.3787,0.3644,0.4869,0.346,0.7304,0.31,0.98,0.02,0.0
mọi không nên đặt_hàng không xài được rất không đáng tiền,0.4577,0.4867,0.4883,0.6188,0.4075,0.53,0.99,0.0,0.01
rất đáng tiềnthời gian giao hàng rất nhanh,0.6125,0.5978,0.768,0.8523,0.1742,0.36,0.0,0.0,0.99
đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh date sữa mới tận 2020,0.5606,0.7368,0.6348,0.8362,0.2478,0.56,0.0,0.0,1.0
bé xíu bé chơi,0.4536,0.3879,0.5268,0.5373,0.483,0.33,0.86,0.09,0.06
chọn 1 màu giao 1 màu lúc đặt_hàng không nói trướcthất vọng quá toàn màu xấu,0.4319,0.5732,0.4801,0.6087,0.4618,0.42,0.99,0.01,0.0
chất_lượng sản_phẩm tuyệt_vời dau tình_yêu to,0.4395,0.4573,0.4615,0.5569,0.4825,0.32,0.0,0.0,1.0
quá đủ 1 cuộc tình hj đẹp hết chỗ chê lun ý hj,0.479,0.5095,0.5194,0.5928,0.4687,0.3,0.0,0.0,1.0
đóng_gói sản_phẩm rất đẹp chắc_chắn cơm cháy không bị vỡ mình rất hài_lòng,0.5751,0.7213,0.6648,0.8348,0.2782,0.47,0.0,0.0,1.0
đóng_gói sản_phẩm đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời thời_gian giao ha nhanh se u hô cửa_hàng,0.5797,0.7534,0.6466,0.8268,0.2897,0.51,0.0,0.0,1.0
ôi giá tiếp_tục ngủ,0.4226,0.377,0.5171,0.4367,0.5957,0.13,0.99,0.01,0.0
đô hô đe p cửa_hàng go i ha ki đă chị biê tôi cửa_hàng râ tôi nhiê tôi ti nh va vui ve_nư anh,0.5988,0.7702,0.6867,0.8438,0.2799,0.29,0.02,0.04,0.95
hang co ma giam nhung khong co nhap,0.3619,0.318,0.4736,0.2672,0.7778,0.37,0.11,0.53,0.36
phần mô tà sản_phẩm 25g sản_xuất nhật hàng nhận được 8g sx hàn,0.47,0.6373,0.45,0.6888,0.3724,0.25,0.0,0.0,1.0
ưu_điểm nhỏ gọnhược điểm đầu bút quá mềm sẽ bị lem nước lọ dễ bị vón cục mình mới mua xài không được bao_lâu đầu cọ bị rơi ra dính chặt dưới đầu mực bước không xài được nữa sp tệ,0.5361,0.7836,0.6022,0.747,0.4623,0.72,0.88,0.07,0.05
ip6 thiết_kế quá xấu 2 vạch ăng ten nhìn kinh được mầu mầu con_gái bede giắc cắm loa thiết_kế không đẹp so s6 nói_chung nhìn tổng_thể ip 6 ip xấu thậm_tệ xấu không_tưởng theo lời sam fan cuối_cùng 2 năm_học_hỏi anh sam đã copy đx mẫu ip6 anh táo thêm được mầu hồng nam_tính fan sung bảo thế kiểu thầy làm trò làmvậy mãi_mãi chậy theo không thấy mệt nhỉ,0.5282,0.8044,0.5811,0.7069,0.5203,0.56,1.0,0.0,0.0
san pham đep xứng giá 125 trieu,0.3829,0.3355,0.465,0.382,0.6432,0.45,0.0,0.0,1.0
đóng_gói sản_phẩm quá tệ chất_lượng sản_phẩm không cửa_hàng nói,0.4275,0.6168,0.4037,0.6188,0.4657,0.14,0.6,0.35,0.05
mình mong sản_phẩm có tác_dụng dầu dừa thật_sự thất_vọng rằng nó chẳng hề giúp môi khá lên thậm_chí còn làm khô đi,0.5103,0.7343,0.551,0.727,0.4152,0.36,1.0,0.0,0.0
led sáng ngon chất_lượng sản_phẩm tuyệt_vời,0.4375,0.3926,0.5131,0.4815,0.5571,0.42,0.0,0.0,1.0
hàng không giống hình đế giày bị cũ,0.4001,0.3949,0.4442,0.4772,0.554,0.39,1.0,0.0,0.0
cửa_hàng bọc cẩn_thận bánh ngon,0.4074,0.4371,0.4433,0.5081,0.509,0.34,0.01,0.01,0.99
có_thể do mình đọc có trông_đợi quá nhiều vào bài_học từ một tấm gương tinh_thần quyết_liệt cũng có_thể do mình không quen lắm dạng sách kinh_tế dù thế_nào đi_nữa mình đây thật_sự cuốn sách gây thất_vọng khiến mình rất tiếc số tiền bỏ ra trên tựa đề có lựa_chọn chiến_lược kỳ_tích lời giới_thiệu cũng có chi_tiết câu nói nổi_tiếng le kun he khá ấn_tượng nội_dung sách lời thuật đều đều chung_chung buồn chán,0.5624,0.83,0.6271,0.7827,0.4358,0.07,1.0,0.0,0.0
ăn rất ngon con mình rất thích cảm_ơn,0.5466,0.5033,0.7006,0.6709,0.4204,0.12,0.0,0.0,0.99
chất_lượng sản_phẩm tuyệt_vời đẹp quá cửa_hàng ạ đeo len xinh nổi da quá cửa_hàng_phục_vụ rất tốt rất đáng tiền,0.6799,0.7481,0.8451,0.9203,0.2099,0.68,0.0,0.0,1.0
mực ngon cay không bị cứng hay chảy nước dính bao mua siu thị nói_chung rẻ chất_lượng tuyệt_vời,0.5155,0.6899,0.5231,0.7959,0.2602,0.62,0.02,0.0,0.98
chất_lượng sản_phẩm kém không giống hình,0.372,0.3076,0.4359,0.3445,0.6755,0.38,0.89,0.06,0.04
đóng_gói sản_phẩm kém giao hàng bên gẫy 1 chân nhựa đỡ bên sản_phẩm nói_chung không chấp_nhận được,0.4275,0.7,0.4009,0.632,0.4757,0.41,0.21,0.01,0.77
vải dầy_dặn hình xinh_xắn dễ_thương thank cửa_hàng,0.5542,0.6806,0.6024,0.8119,0.2507,0.58,0.0,0.01,0.99
màu rất đẹp chất phất cực_kỳ pigmented luôn nha hộp chắc cầm cực_kỳ thích tay xd cửa_hàng gói kỹ nên không vỡ phấn không móp hộp 3 sẽ ủng_hộ cửa_hàng lâu_dài nè 3,0.6432,0.7769,0.7882,0.8648,0.2988,0.83,0.0,0.0,1.0
cửa_hàng bạn_hàng lừa_đảo chúng_tôi muốn đổi hàng không được cửa_hàng liên he giao hàng không đúng sản_phẩm,0.5029,0.733,0.5063,0.7741,0.3197,0.17,1.0,0.0,0.0
thời_gian giao hàng rất nhanh đi lúc 8h nvậy có trễ không đồ ăn_không được tươi mấy bufet chỗ khác,0.5377,0.7461,0.5652,0.8449,0.2227,0.17,0.6,0.0,0.4
không có keo lấy bụi ? ? ? miếg dán dễ vở,0.359,0.3133,0.4653,0.2657,0.7866,0.43,0.01,0.98,0.02
chất_lượng kém,0.4008,0.3252,0.4853,0.4142,0.619,0.29,0.94,0.04,0.02
hàng fake không đảm_bảo chất_lượng,0.3762,0.2762,0.4938,0.3128,0.7134,0.19,0.62,0.38,0.0
giá rẻ mới sài chưa biết hiệu_quả không tư_vấn tận_tình trả_lời rất nhanh,0.4959,0.6936,0.5038,0.7626,0.2947,0.33,0.0,0.08,0.91
đóng_gói sản_phẩm kém đế giày không giống hình nhìn đã biết đế kém chất_lượng rồi,0.4172,0.6325,0.3841,0.6238,0.4431,0.34,0.98,0.0,0.02
sản_phẩm đẹp lắm thanh cửa_hàng,0.4381,0.3781,0.5175,0.4944,0.5374,0.31,0.0,0.01,0.99
đóng_gói sản_phẩm rất đẹp chắc_chắn giao hang sieu nhanh bim mới,0.5203,0.686,0.5599,0.7738,0.3042,0.54,0.0,0.03,0.96
đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh 5,0.6504,0.7569,0.7883,0.9192,0.1823,0.53,0.0,0.0,1.0
vư anh mơ ra đa thâ y vơ co dâ u hiê u ha đa qua sư du đa tra ha,0.4969,0.6826,0.5018,0.7755,0.2701,0.02,0.0,1.0,0.0
khách_hàng không đồng_ý cách xử_lý cửa_hàng đã đem hàng về không đổi khách thà_là nói không đổi được chứ tới lấy hàng về rồi tưởng đổi tã quần ai_ngờ mở ra tã dán thật thất_vọng,0.4803,0.7512,0.4903,0.6559,0.5298,0.33,1.0,0.0,0.0
nokia 105 mới mua điện_thoại không gữi tin nhắn đi được muốn đỗi máy khác phải làm_sao cửa_hàng 0906777870,0.4969,0.7458,0.5139,0.7763,0.3134,0.07,0.03,0.95,0.02
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn sẽ ủng_hộ cửa_hàng dài_dài,0.6238,0.7474,0.7355,0.8567,0.2676,0.66,0.0,0.0,1.0
hàng tốt giao hành mau rất đáng tiền okay_al,0.4764,0.465,0.5582,0.6237,0.4217,0.51,0.0,0.01,0.99
rất đáng tiền thời_gian giao hàng rất nhanh,0.5876,0.5672,0.7463,0.8066,0.2395,0.43,0.0,0.01,0.98
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh được tặng thêm sample nữa,0.6528,0.7762,0.7854,0.8752,0.2767,0.5,0.0,0.0,1.0
bánh hết hạn sử_dụng hỏi cửa_hàng cửa_hàng bảo theo lấy trên lào cai không biết tiếng trung mình đã dịch thông_qua gogle trang_web hãng horse được biết bánh có date 60 ngày tới tay mình đã quá hạn từ lâu còn nhiều loại bánh khác tương_tự cận date còn ít hơn 1 tháng,0.5232,0.8216,0.5542,0.7436,0.4629,0.22,1.0,0.0,0.0
dây_cáp micro usb không đúng chiều dài miêu_tả có 98cm trên web up 1 2mét,0.4753,0.6891,0.4453,0.723,0.3337,0.31,0.98,0.02,0.0
chất son khá mềm_môi màu khá đẹp phần vỏ không được chắc chắc son thỏi son nghiêng hẳn về 1 bên tì vào thành thân son 2 ngày em nó gãy mua chưa đầy 1 tháng,0.5818,0.755,0.6639,0.8249,0.2963,0.69,0.03,0.05,0.91
dm treo đầu dê bạn thịt lợn á lừa_đảo,0.3334,0.2294,0.5481,0.1183,0.9446,0.14,1.0,0.0,0.0
san pham cung tot đóng_gói sản_phẩm rất đẹp chắc_chắn,0.4932,0.6129,0.5222,0.6962,0.3671,0.34,0.0,0.01,0.98
sản_phẩm tốt giao hàng quá lâu đống đa hà_nội đặt từ ngày 21 hoim nay mới nhận được hàng,0.4887,0.6698,0.5239,0.738,0.3644,0.41,0.03,0.71,0.26
cửa_hàng tôi hỏi hn tôi ms nhận hàng tôi hài_lòng về chất_lượng muốn đặt thêm một nửa giá ship cao hơn địa_chỉ củ,0.6196,0.7393,0.7402,0.8704,0.2361,0.57,0.0,0.2,0.79
sản_phẩm y hình mỗi tội bên bạn lưu kho kém quá tấm đệm còn bị bẩn mới mở ra có mùi mốc_vậy,0.4258,0.6445,0.4236,0.5753,0.5351,0.5,0.03,0.82,0.15
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn thoi gian giao hag nhah,0.5797,0.7253,0.663,0.8159,0.3045,0.47,0.0,0.0,1.0
dép mềm_dẻo êm chân form nhỏ hơn size bth nên con mình mang dư gót ạ hộp kim không có màu đen trắng có màu mình cần may quá đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền thời_gian giao hàng rất nhanh,0.6529,0.8017,0.8004,0.8616,0.3079,0.76,0.04,0.17,0.79
màu bên ngoài giống màu cam neon sặc_sỡ hơn ảnh kích_thước hơi nhỏ hơn tưởng_tượng chất_lượng tốt,0.534,0.7324,0.559,0.831,0.2385,0.6,0.01,0.1,0.89
sp đựng túi ghi khô gà lá chanh không thấy nhãn cửa_hàng,0.3982,0.3916,0.4561,0.4391,0.6023,0.27,0.91,0.08,0.0
quá ngọt cảm_giác nhưu đang nhai đường vậy gà ỉu mềm không khô giòn,0.4788,0.5851,0.5523,0.6469,0.4572,0.21,0.0,0.0,1.0
chưa được xem hàng cửa_hàng rất nhiệt_tình,0.4432,0.4647,0.4983,0.5648,0.4742,0.14,0.01,0.09,0.91
sản_phẩm không dùng được cửa_hàng thiếu trách_nhiệm đừng mua kẻo bị lừa không mát cũng không ấm,0.4343,0.6697,0.3815,0.703,0.3521,0.66,0.97,0.03,0.0
sản_phẩm giống hình nhìn bề_ngoài rất tốt còn về chất_lượng tiền sản_phẩm rẻ chất_lượng như_vậy rất ổn,0.5642,0.7683,0.6208,0.8376,0.2719,0.59,0.01,0.25,0.74
chất_lượng sản_phẩm rất kém chuột ghim vào không nhận đề_nghị trả hàng hoàn tiền,0.4995,0.6727,0.5159,0.754,0.3172,0.51,0.98,0.01,0.01
nồi lẩu đẹp đóng_gói kĩ chưa sủ_dụng nên chưa đánh_giá được,0.4818,0.6836,0.4628,0.7699,0.2653,0.34,0.0,0.03,0.97
chất dầy tốt,0.3932,0.2688,0.5487,0.3161,0.7544,0.26,0.0,0.03,0.97
mình đã thanh_toán thẻ tín_dụng shope báo đã giao bạn báo đã giao mình chưa nhận được liên_lạc vs cửa_hàng nguyên ngày hôm_nay cửa_hàng chưa trả_lời mình hàng_hoá_giá_trị không lớn cửa_hàng thiếu hợp_tác không hề có 1 tiếng xin_lỗi,0.5687,0.8521,0.6331,0.8203,0.3813,0.31,0.78,0.2,0.02
máy bị lỗi chức_năng solve giải nghiệm meosdc,0.4634,0.4783,0.5557,0.5393,0.5321,0.18,1.0,0.0,0.0
thom lâu,0.34,0.1887,0.4859,0.2193,0.7686,0.4,0.02,0.34,0.64
ngn wa ăn_không ngán luôn,0.484,0.4075,0.5788,0.5333,0.5005,0.13,0.01,0.0,0.99
thời_gian giao hàng rất nhanh rất đáng tiền chất_lượng sản_phẩm tuyệt_vời,0.5645,0.6872,0.6374,0.8423,0.2252,0.46,0.0,0.0,1.0
nhìn dễ_thương tưởng nó lớn dè nhỏ thái_độ phục_vụ chị nghe điện_thoại không tốt,0.5431,0.6971,0.5842,0.8326,0.2163,0.32,0.99,0.01,0.01
do vchuyen len bị rớt bên ngoài chút ạ ksao hàng chuẩn ạ cảm_ơn cửa_hàng nhieu,0.5371,0.7243,0.5912,0.7921,0.3083,0.29,0.0,0.03,0.97
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn rất hài_lòng về sản_phẩm,0.5858,0.7461,0.6683,0.8081,0.3312,0.45,0.0,0.0,1.0
sử_dụng bin yếu quá không mát,0.4141,0.3898,0.453,0.4881,0.5376,0.45,0.09,0.84,0.07
sản pham đóng goi cân thân đẹp,0.4448,0.3879,0.5249,0.4821,0.5527,0.44,0.0,0.05,0.95
tệ quá nhãy lung_tung,0.3685,0.1665,0.6403,0.0985,0.9818,0.31,1.0,0.0,0.0
rất ngon nhé shopvi mặn ngọt đậm_đà vị mình thíchdùng hết ủng_hộ tiếp,0.6172,0.6713,0.7581,0.8728,0.2012,0.48,0.04,0.0,0.95
hàng quá tệ so quảng_cáo mua về vứt xó,0.4172,0.3968,0.5133,0.4235,0.6362,0.43,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm rất kém đóng_gói sản_phẩm rất kém đóng_gói sản_phẩm rất kém đóng_gói sản_phẩm rất kém đóng_gói sản_phẩm rất kém đóng_gói sản_phẩm rất kém,0.5092,0.8101,0.5385,0.6746,0.5467,0.33,0.07,0.32,0.61
đẹp to hơn minh tưởng,0.4948,0.4704,0.5566,0.6502,0.3709,0.49,0.01,0.02,0.97
bánh_đa_số ngon đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền cửa_hàng_phục_vụ rất tốt,0.6463,0.7607,0.7769,0.9046,0.2101,0.49,0.01,0.0,0.99
nhắn mã hướng_dẫn không được sim mua lần 1 tốt sim lần 2 không dùng được phải nhắn mã sim mua lần 1 mới được,0.5117,0.699,0.5042,0.8442,0.1833,0.4,0.97,0.03,0.0
giao hàng siêu nhanh ạ son dùng rất thích,0.5086,0.5312,0.6483,0.7023,0.375,0.47,0.0,0.0,1.0
chuẩn hàng bitis,0.4539,0.4387,0.5549,0.5481,0.5126,0.11,0.0,0.01,0.99
